set,generator,training,condition,model,severity,n_phish,recall_05,recall_05_lo,recall_05_hi,recall_fpr,recall_fpr_lo,recall_fpr_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,fpr_threshold
degradation,haiku,baseline,url_masked,distilbert,0.5,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9979891659566242,0.9958899932737127,0.9994498259755619,0.9998831178318358,0.9997646206185867,0.999967344171622,0.004130047694780071
degradation,haiku,baseline,url_masked,distilbert,0.75,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9981403047267302,0.9960861691008789,0.9995647971989893,0.9998928580125162,0.9997764975128811,0.9999748985783683,0.004130047694780071
degradation,haiku,baseline,url_masked,distilbert,1.0,270,0.9962962962962963,0.9885474163241339,1.0,1.0,1.0,1.0,0.9970366222948572,0.9939445421758192,0.9992480739467022,0.9998327935649873,0.9996586412731648,0.999954239355527,0.004130047694780071
degradation,gemini,baseline,url_masked,distilbert,0.0,308,0.9935064935064936,0.9832761890866647,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9968353192671432,0.9933880420428343,0.9990501055178417,0.9997452689760382,0.9994251833320935,0.99993868382194,0.004130047694780071
degradation,gemini,baseline,url_masked,distilbert,0.25,308,0.9902597402597403,0.977491961414791,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9968267920990229,0.9935711027156315,0.9990084267402679,0.9997513170590094,0.9994589159698111,0.9999348056519763,0.004130047694780071
degradation,gemini,baseline,url_masked,distilbert,0.5,308,0.9967532467532467,0.9892453709095144,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9982911061818435,0.9961317957120858,0.9996487915426279,0.999880461418923,0.9997335917497123,0.9999760002143565,0.004130047694780071
degradation,gemini,baseline,url_masked,distilbert,0.75,308,0.9967532467532467,0.9892453709095144,1.0,0.9967532467532467,0.9892453709095144,1.0,0.998958136205123,0.9974144067413767,0.9999026245692685,0.9999252883868268,0.9998108659080148,0.9999935180647993,0.004130047694780071
degradation,gemini,baseline,url_masked,distilbert,1.0,308,0.9902597402597403,0.9773444395410416,1.0,0.9935064935064936,0.9835969303553747,1.0,0.996185215205078,0.992340359779647,0.9990747672550947,0.9996677112061727,0.9992824245256334,0.9999388707495936,0.004130047694780071
degradation,haiku,adv,original,distilbert,0.0,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9991312318786415,0.9980396196503862,0.9997975194491322,0.999948052369705,0.9998810767919166,0.9999879934803332,0.0014291538717225286
degradation,haiku,adv,original,distilbert,0.25,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9995425991441562,0.9988803368819074,0.9999467370537644,0.9999724028214055,0.9999317130975883,0.9999967762861424,0.0014291538717225286
degradation,haiku,adv,original,distilbert,0.5,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9996863711344693,0.9991452112403445,0.9999862341250427,0.9999813313203627,0.9999507811292294,0.9999991855503504,0.0014291538717225286
degradation,haiku,adv,original,distilbert,0.75,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9997418413592305,0.9992974026425262,0.999989415059927,0.9999845780472562,0.9999563652910824,0.9999992896640657,0.0014291538717225286
degradation,haiku,adv,original,distilbert,1.0,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9995939116564354,0.9989696442250644,0.9999588188792661,0.9999756495482992,0.9999371391272902,0.999997551488505,0.0014291538717225286
degradation,gemini,adv,original,distilbert,0.0,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.99916262760476,0.9982221727845595,0.9998152887124845,0.9999416537878076,0.9998750680615591,0.9999872268426925,0.0014291538717225286
degradation,gemini,adv,original,distilbert,0.25,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9993388286580439,0.9984163950977755,0.9999188766508597,0.99995374995375,0.999891447797958,0.999994344023733,0.0014291538717225286
degradation,gemini,adv,original,distilbert,0.5,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9996384324614852,0.9990988045044735,0.9999578534165912,0.9999750961289423,0.999938789526919,0.9999970209025275,0.0014291538717225286
degradation,gemini,adv,original,distilbert,0.75,308,1.0,1.0,1.0,1.0,1.0,1.0,0.9998148256412571,0.9994446114582579,1.0,0.9999871922948845,0.9999616780346634,1.0,0.0014291538717225286
degradation,gemini,adv,original,distilbert,1.0,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9995390091693188,0.9988433404462816,0.9999450068911601,0.9999683365067981,0.999922670595629,0.9999963427153002,0.0014291538717225286
degradation,haiku,adv,url_masked,distilbert,0.0,270,0.9925925925925926,0.9811302887364208,1.0,1.0,1.0,1.0,0.9965638738234951,0.9936484070884154,0.9985483176458646,0.9997930211605426,0.9996171095625683,0.9999142872606266,0.0012231723056174823
degradation,haiku,adv,url_masked,distilbert,0.25,270,0.9925925925925926,0.9795039628776588,1.0,1.0,1.0,1.0,0.9980343121570256,0.9960904560657229,0.9993110612056392,0.9998798711049423,0.9997667273811075,0.9999587337917152,0.0012231723056174823
degradation,haiku,adv,url_masked,distilbert,0.5,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9988528476297203,0.9976515394769363,0.9997163396522893,0.9999318187352375,0.9998615275980419,0.9999836640411339,0.0012231723056174823
degradation,haiku,adv,url_masked,distilbert,0.75,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9992123348888414,0.9982261715584322,0.9998252337158567,0.999952922460045,0.9998955204002636,0.999989644423852,0.0012231723056174823
degradation,haiku,adv,url_masked,distilbert,1.0,270,0.9962962962962963,0.9885474163241339,1.0,1.0,1.0,1.0,0.9990592407524528,0.9979105926593409,0.9998172524521568,0.9999439939610878,0.9998732208427006,0.9999888324768952,0.0012231723056174823
degradation,gemini,adv,url_masked,distilbert,0.0,308,0.9902597402597403,0.9778481012658228,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9968472758475146,0.9942315688509532,0.998834294005342,0.9997680382295767,0.9995571531504958,0.9999187076505569,0.0012231723056174823
degradation,gemini,adv,url_masked,distilbert,0.25,308,0.987012987012987,0.9725038347661684,0.9970246848739496,0.9967532467532467,0.9892453709095144,1.0,0.9968955842957459,0.9941127983214612,0.9988351974189902,0.9997701728470959,0.9995471389520225,0.9999185882048566,0.0012231723056174823
degradation,gemini,adv,url_masked,distilbert,0.5,308,0.9935064935064936,0.9831518308080808,1.0,1.0,1.0,1.0,0.9987544780638333,0.9973981965633335,0.9996140633501553,0.9999139037600576,0.999818557621634,0.9999742301152419,0.0012231723056174823
degradation,gemini,adv,url_masked,distilbert,0.75,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9997001227371538,0.999154584040773,1.0,0.9999793653639807,0.999942709469541,1.0,0.0012231723056174823
degradation,gemini,adv,url_masked,distilbert,1.0,308,0.9902597402597403,0.9773444395410416,1.0,0.9935064935064936,0.9831081081081081,1.0,0.9969621529550017,0.9935989067795434,0.9992724823179902,0.9997395766626536,0.9994220345451781,0.9999493297284219,0.0012231723056174823
