corpus,condition,model,severity,n_phish,recall_05,recall_05_lo,recall_05_hi,recall_fpr,recall_fpr_lo,recall_fpr_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,fpr_threshold
ceas08,url_masked,logreg,0.25,61,1.0,1.0,1.0,1.0,1.0,1.0,0.987474003689883,0.9696365318860634,0.999038151667993,0.9997821784053565,0.9994882546603194,0.9999827402422246,0.3937968020912181
ceas08,url_masked,random_forest,0.25,61,0.9836065573770492,0.9473508771929824,1.0,0.9836065573770492,0.9473508771929824,1.0,0.9668100959010899,0.9301756627065327,0.9935517279449717,0.9992849769393226,0.9984020115837335,0.9998860714817503,0.4412999999999996
ceas08,url_masked,gradient_boosting,0.25,61,0.9672131147540983,0.9183533687447583,1.0,0.9344262295081968,0.8666417910447761,0.9848541383989146,0.8880845865561197,0.814415273584405,0.95062506891195,0.9973861408642782,0.9956272910883835,0.9988453983170078,0.6462647228505864
ceas08,url_masked,logreg,0.5,61,0.8688524590163934,0.7741783323189287,0.9473911070780399,0.9344262295081968,0.864406779661017,0.9861111111111112,0.8587170503254086,0.7693625757484082,0.9360882019617114,0.9974666401492551,0.9958585183483041,0.9987046020738716,0.3937968020912181
ceas08,url_masked,random_forest,0.5,61,0.639344262295082,0.5146431133428981,0.7580645161290323,0.7540983606557377,0.6440677966101694,0.8571428571428571,0.6297599979575053,0.5062450863242749,0.7665049962700268,0.9925040959930298,0.9891824360241788,0.9952484629792482,0.4412999999999996
ceas08,url_masked,gradient_boosting,0.5,61,0.8852459016393442,0.796875,0.9622641509433962,0.6885245901639344,0.5714285714285714,0.8064516129032258,0.5664953511554737,0.4408094696458869,0.6984781294514375,0.9867697057514372,0.9808988351290496,0.9918559424185064,0.6462647228505864
ceas08,url_masked,logreg,0.75,61,0.639344262295082,0.5097946725860155,0.7656333111702127,0.6885245901639344,0.5664830508474578,0.8035714285714286,0.5805113574378651,0.45592873470413486,0.7316779438178826,0.9884459849797804,0.9821688005426826,0.9933295014335232,0.3937968020912181
ceas08,url_masked,random_forest,0.75,61,0.13114754098360656,0.05354793233082709,0.22417964404894325,0.18032786885245902,0.09230769230769231,0.28339285714285706,0.32245642600524677,0.25460666298460544,0.419910112188953,0.9815964428786544,0.976417192567552,0.9863970625346283,0.4412999999999996
ceas08,url_masked,gradient_boosting,0.75,61,0.36065573770491804,0.24527339237581827,0.489408361328854,0.14754098360655737,0.06451612903225806,0.2419477028347996,0.19759539049734348,0.14745072428343797,0.27788261155855487,0.9577757574035665,0.9460545408812988,0.9678903604394714,0.6462647228505864
ceas08,url_masked,logreg,1.0,61,0.5245901639344263,0.4032258064516129,0.6538636363636363,0.7213114754098361,0.6034414340448823,0.8275862068965517,0.5292546420160049,0.42145338443435176,0.6753158397935556,0.9893930353912739,0.9845094469199228,0.9935229882680462,0.3937968020912181
ceas08,url_masked,random_forest,1.0,61,0.19672131147540983,0.09995901639344267,0.30359083850931673,0.4426229508196721,0.3332031250000001,0.5625284090909091,0.4013733279618642,0.32485017843721903,0.5208178950416988,0.9869756892159369,0.9831267792526371,0.9904478841140083,0.4412999999999996
ceas08,url_masked,gradient_boosting,1.0,61,0.639344262295082,0.5216764214046823,0.7586366538952746,0.39344262295081966,0.28065142364106993,0.5230952380952381,0.31877320325073905,0.24408926406726963,0.42828665472160776,0.9761248591262512,0.9684141889695881,0.9823613210758357,0.6462647228505864
